City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
158,Guaraniacu,BR,2021-03-28 01:41:36,-25.1008,-52.8781,66.76,86,99,1.74,overcast clouds
159,Pevek,RU,2021-03-28 01:41:37,69.7008,170.3133,-2.87,86,22,5.14,few clouds
160,Geraldton,AU,2021-03-28 01:41:37,-28.7667,114.6,77.0,41,0,10.36,clear sky
161,Arraial Do Cabo,BR,2021-03-28 01:41:37,-22.9661,-42.0278,77.49,88,4,10.38,clear sky
162,Staroaleyskoye,RU,2021-03-28 01:41:38,51.0061,82.0,33.33,100,100,3.56,light snow
163,Khatanga,RU,2021-03-28 01:41:38,71.9667,102.5,0.41,96,89,7.61,overcast clouds
164,Zhezkazgan,KZ,2021-03-28 01:41:38,47.8043,67.7144,30.78,96,100,11.54,light snow
165,Clonakilty,IE,2021-03-28 01:41:39,51.6231,-8.8706,51.01,93,75,21.85,light intensity drizzle
166,Santa Rosa De Aguan,HN,2021-03-28 01:41:39,15.95,-85.7167,79.47,76,4,19.71,clear sky
167,Latung,PH,2021-03-28 01:41:40,5.5,120.8833,82.87,74,56,7.47,light rain
168,Santa Cruz,BO,2021-03-28 01:37:10,-17.8,-63.1667,68.0,88,75,14.97,broken clouds
169,Mandiana,GN,2021-03-28 01:41:40,10.6333,-8.6833,79.09,17,91,4.72,overcast clouds
170,Zaymishche,RU,2021-03-28 01:41:40,52.7264,32.2334,35.58,92,34,7.05,scattered clouds
171,Praia,CV,2021-03-28 01:41:41,14.9215,-23.5087,68.0,73,40,27.63,scattered clouds
172,Vao,NC,2021-03-28 01:41:41,-22.6667,167.4833,78.31,77,19,11.54,few clouds
173,Kulhudhuffushi,MV,2021-03-28 01:41:41,6.6221,73.07,82.51,75,94,15.03,overcast clouds
174,Port-Cartier,CA,2021-03-28 01:41:42,50.0334,-66.8654,18.0,85,20,2.91,few clouds
175,Whitehorse,CA,2021-03-28 01:37:45,60.7161,-135.0538,28.0,93,90,13.8,snow
176,Chuy,UY,2021-03-28 01:41:42,-33.6971,-53.4616,66.88,92,100,5.39,overcast clouds
177,Gat,IL,2021-03-28 01:41:43,31.61,34.7642,55.0,100,48,3.8,scattered clouds
178,Port Augusta,AU,2021-03-28 01:41:43,-32.5,137.7667,73.0,49,90,9.22,overcast clouds
179,Cabo San Lucas,MX,2021-03-28 01:41:43,22.8909,-109.9124,71.01,68,20,9.22,few clouds
180,Tucurui,BR,2021-03-28 01:41:44,-3.7661,-49.6725,71.76,97,100,3.6,overcast clouds
181,Baruun-Urt,MN,2021-03-28 01:41:44,46.6806,113.2792,30.33,43,94,26.78,overcast clouds
182,Tiruchchendur,IN,2021-03-28 01:41:44,8.4833,78.1167,78.8,83,40,5.93,haze
183,San Quintin,MX,2021-03-28 01:41:45,30.4833,-115.95,61.05,61,0,8.41,clear sky
184,Abha,SA,2021-03-28 01:38:07,18.2164,42.5053,57.2,62,0,2.08,clear sky
185,Leningradskiy,RU,2021-03-28 01:41:45,69.3833,178.4167,-1.98,88,17,8.32,few clouds
186,Bacoli,IT,2021-03-28 01:41:46,40.7995,14.0783,52.0,87,0,1.14,clear sky
187,Kashi,CN,2021-03-28 01:41:46,39.4547,75.9797,53.6,37,75,2.24,dust
188,Longyearbyen,SJ,2021-03-28 01:41:46,78.2186,15.6401,30.2,69,40,25.32,snow
189,Sibolga,ID,2021-03-28 01:41:29,1.7427,98.7792,83.05,73,20,0.69,few clouds
190,Puri,IN,2021-03-28 01:41:47,19.8,85.85,75.2,73,20,5.75,mist
191,Kinablangan,PH,2021-03-28 01:41:47,7.6947,126.5503,83.03,74,96,9.33,heavy intensity rain
192,Zyryanka,RU,2021-03-28 01:41:48,65.75,150.85,5.61,81,26,7.4,scattered clouds
193,Yellowknife,CA,2021-03-28 01:37:43,62.456,-114.3525,24.01,50,40,13.8,scattered clouds
194,Bandarbeyla,SO,2021-03-28 01:41:48,9.4942,50.8122,77.34,81,29,8.75,scattered clouds
195,San Cristobal,VE,2021-03-28 01:41:48,7.7669,-72.225,73.4,94,75,2.3,fog
196,Wahpeton,US,2021-03-28 01:41:49,46.2652,-96.6059,37.99,56,90,10.36,overcast clouds
197,Hambantota,LK,2021-03-28 01:41:49,6.1241,81.1185,75.2,100,40,2.3,scattered clouds
198,Saint-Pierre,RE,2021-03-28 01:41:49,-21.3393,55.4781,75.2,83,20,4.61,few clouds
199,Beringovskiy,RU,2021-03-28 01:41:50,63.05,179.3167,5.99,88,100,8.39,overcast clouds
200,Narsaq,GL,2021-03-28 01:41:50,60.9167,-46.05,10.4,52,75,4.97,broken clouds
201,Viedma,AR,2021-03-28 01:41:50,-40.8135,-62.9967,57.07,55,54,11.9,broken clouds
202,Marzuq,YE,2021-03-28 01:41:51,14.4,46.4667,62.51,43,4,4.34,clear sky
203,Ambovombe,MG,2021-03-28 01:41:51,-25.1667,46.0833,70.63,89,0,4.9,clear sky
204,Perth,AU,2021-03-28 01:37:20,-31.9333,115.8333,77.0,46,0,12.66,clear sky
205,Port Blair,IN,2021-03-28 01:41:52,11.6667,92.75,85.01,67,100,6.02,overcast clouds
206,Nioki,CD,2021-03-28 01:41:52,-2.7167,17.6833,70.72,87,65,1.16,broken clouds
207,Sinnamary,GF,2021-03-28 01:41:52,5.3833,-52.95,76.53,88,84,11.74,broken clouds
208,Manali,IN,2021-03-28 01:41:53,13.1667,80.2667,78.8,89,40,9.04,mist
209,Fukue,JP,2021-03-28 01:41:53,32.6881,128.8419,57.2,94,75,6.91,moderate rain
210,Nador,MA,2021-03-28 01:41:53,35.174,-2.9287,60.8,82,90,12.66,overcast clouds
211,Siguiri,GN,2021-03-28 01:41:54,11.6667,-9.5,80.22,12,31,2.17,scattered clouds
212,Naze,JP,2021-03-28 01:41:54,28.3667,129.4833,71.6,94,75,18.41,broken clouds
213,Buraydah,SA,2021-03-28 01:41:54,26.326,43.975,57.2,47,0,12.66,clear sky
214,Kamaishi,JP,2021-03-28 01:37:02,39.2667,141.8833,48.2,76,75,2.3,broken clouds
215,Oga,IT,2021-03-28 01:41:55,46.4631,10.347,45.0,100,80,1.14,broken clouds
216,Hasaki,JP,2021-03-28 01:41:55,35.7333,140.8333,70.0,63,75,20.71,broken clouds
217,Biak,ID,2021-03-28 01:41:56,-0.9131,122.8766,82.42,68,100,0.81,light rain
218,Koumac,NC,2021-03-28 01:41:56,-20.5667,164.2833,82.35,70,46,7.49,scattered clouds
219,Malakal,SS,2021-03-28 01:41:56,9.5334,31.6605,80.69,25,0,4.23,clear sky
220,Djibo,BF,2021-03-28 01:41:57,14.1022,-1.6306,77.56,11,0,13.38,clear sky
221,Umm Kaddadah,SD,2021-03-28 01:41:57,13.6017,26.6876,66.78,20,4,22.24,clear sky
222,Fare,PF,2021-03-28 01:41:58,-16.7,-151.0167,82.36,74,4,21.85,light rain
223,Chimbote,PE,2021-03-28 01:41:58,-9.0853,-78.5783,70.05,82,65,6.15,broken clouds
224,Luorong,CN,2021-03-28 01:41:58,24.4058,109.6086,74.68,81,97,2.21,overcast clouds
225,Kurali,IN,2021-03-28 01:41:59,30.8315,76.5785,68.0,64,20,2.3,few clouds
226,Aitape,PG,2021-03-28 01:41:59,-3.1374,142.3475,79.83,86,100,4.43,overcast clouds
227,Coquimbo,CL,2021-03-28 01:42:00,-29.9533,-71.3436,59.0,88,90,8.05,overcast clouds
228,Wadena,US,2021-03-28 01:42:00,46.4425,-95.1361,35.6,69,25,6.91,scattered clouds
229,Bozeman,US,2021-03-28 01:42:00,45.6796,-111.0386,53.6,30,1,8.05,clear sky
230,Balkanabat,TM,2021-03-28 01:42:01,39.5108,54.3671,47.16,56,91,14.34,overcast clouds
231,Port Hedland,AU,2021-03-28 01:42:01,-20.3167,118.5667,89.6,58,95,5.75,overcast clouds
232,Sao Jose Da Coroa Grande,BR,2021-03-28 01:42:01,-8.8978,-35.1478,76.05,86,76,1.36,broken clouds
233,Dongsheng,CN,2021-03-28 01:42:02,39.8161,109.9776,36.12,25,70,16.55,broken clouds
234,Shibetsu,JP,2021-03-28 01:42:02,43.659,145.132,46.4,61,75,14.97,broken clouds
