City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
155,Gorontalo,ID,2021-03-26 23:18:38,0.5412,123.0595,75.92,92,100,2.28
156,Salinopolis,BR,2021-03-26 23:18:38,-0.6136,-47.3561,74.37,92,100,4.9
157,Grindavik,IS,2021-03-26 23:18:39,63.8424,-22.4338,17.6,67,40,10.36
158,Jamestown,US,2021-03-26 23:14:43,42.097,-79.2353,42.01,93,90,14.09
159,Bayangol,RU,2021-03-26 23:18:39,50.6977,103.4656,22.33,64,100,20.15
160,Guerrero Negro,MX,2021-03-26 23:18:40,27.9769,-114.0611,63.19,50,0,16.82
161,Qaanaaq,GL,2021-03-26 23:18:40,77.484,-69.3632,-8.97,64,100,4.74
162,Arraial Do Cabo,BR,2021-03-26 23:18:40,-22.9661,-42.0278,78.8,83,0,11.5
163,Pevek,RU,2021-03-26 23:18:41,69.7008,170.3133,-22.0,95,88,4.97
164,Maldonado,UY,2021-03-26 23:18:26,-34.6667,-54.9167,70.0,100,90,8.05
165,Yeppoon,AU,2021-03-26 23:18:41,-23.1333,150.7333,78.8,65,0,8.05
166,Mar Del Plata,AR,2021-03-26 23:18:42,-38.0023,-57.5575,64.99,88,90,28.77
167,Grandview,US,2021-03-26 23:15:00,38.8858,-94.533,63.0,55,1,12.66
168,Nanortalik,GL,2021-03-26 23:18:42,60.1432,-45.2371,9.03,68,31,25.39
169,Victoria,HK,2021-03-26 23:15:54,22.2855,114.1577,73.0,88,99,1.01
170,Priyutnoye,RU,2021-03-26 23:18:43,46.1011,43.5072,34.9,93,100,15.23
171,Ust-Nera,RU,2021-03-26 23:18:43,64.5667,143.2,-5.93,93,100,3.44
172,Upernavik,GL,2021-03-26 23:18:43,72.7868,-56.1549,-32.64,85,7,3.74
173,Antofagasta,CL,2021-03-26 23:14:18,-23.65,-70.4,62.6,77,75,16.11
174,Fortuna,US,2021-03-26 23:18:44,40.5982,-124.1573,57.99,62,1,14.97
175,Acapulco,MX,2021-03-26 23:18:44,16.8634,-99.8901,84.2,65,20,5.75
176,Saldanha,ZA,2021-03-26 23:18:44,-33.0117,17.9442,62.6,88,5,3.44
177,Price,US,2021-03-26 23:18:45,39.5994,-110.8107,46.4,46,40,18.41
178,Kapit,MY,2021-03-26 23:18:45,2.0167,112.9333,73.0,99,100,1.54
179,Kapaa,US,2021-03-26 23:18:45,22.0752,-159.319,78.8,73,1,10.36
180,Faya,SA,2021-03-26 23:18:46,18.3851,42.4509,60.8,58,0,4.61
181,Kruisfontein,ZA,2021-03-26 23:18:46,-34.0033,24.7314,64.99,70,15,1.01
182,Leningradskiy,RU,2021-03-26 23:18:47,69.3833,178.4167,-13.94,93,51,4.56
183,Qui Nhon,VN,2021-03-26 23:18:47,13.7667,109.2333,74.7,88,90,1.95
184,San Patricio,US,2021-03-26 23:18:47,28.017,-97.5169,82.4,65,40,14.97
185,Aykhal,RU,2021-03-26 23:18:48,66.0,111.5,8.56,96,100,6.82
186,Beringovskiy,RU,2021-03-26 23:18:48,63.05,179.3167,2.26,86,90,13.85
187,New Norfolk,AU,2021-03-26 23:18:48,-42.7826,147.0587,57.99,84,100,1.01
188,Emba,KZ,2021-03-26 23:18:49,48.8264,58.1442,31.3,97,100,14.41
189,Mahebourg,MU,2021-03-26 23:18:49,-20.4081,57.7,77.0,83,20,2.3
190,Minab,IR,2021-03-26 23:18:49,27.1467,57.0801,73.4,78,8,9.22
191,Ponta Delgada,PT,2021-03-26 23:18:50,37.7333,-25.6667,55.4,76,20,6.91
192,Fairbanks,US,2021-03-26 23:15:20,64.8378,-147.7164,27.0,74,90,6.91
193,Wenling,CN,2021-03-26 23:18:50,28.3669,121.36,62.01,98,69,5.12
194,Port Blair,IN,2021-03-26 23:18:51,11.6667,92.75,81.95,73,90,8.43
195,Poum,NC,2021-03-26 23:18:51,-20.2333,164.0167,80.98,69,4,9.08
196,Kismayo,SO,2021-03-26 23:18:52,-0.3582,42.5454,79.63,75,87,15.46
197,Karratha,AU,2021-03-26 23:17:06,-20.7377,116.8463,80.94,69,0,5.28
198,Ahipara,NZ,2021-03-26 23:18:52,-35.1667,173.1667,70.2,72,86,15.41
199,Hay River,CA,2021-03-26 23:18:52,60.8156,-115.7999,21.2,45,15,5.75
200,Faanui,PF,2021-03-26 23:18:53,-16.4833,-151.75,82.94,73,6,21.79
201,Lodja,CD,2021-03-26 23:18:53,-3.4833,23.4333,67.55,94,97,0.94
202,Buckeye,US,2021-03-26 23:15:00,33.3703,-112.5838,66.99,32,97,5.75
203,Butaritari,KI,2021-03-26 23:18:54,3.0707,172.7902,81.81,76,32,14.25
204,Eureka,US,2021-03-26 23:18:04,40.8021,-124.1637,62.01,68,0,7.0
205,Taksimo,RU,2021-03-26 23:18:54,56.3444,114.8794,20.52,93,100,2.17
206,Rawson,AR,2021-03-26 23:18:54,-43.3002,-65.1023,61.03,60,1,6.53
207,Chateau-Thierry,FR,2021-03-26 23:18:55,49.05,3.4,41.0,88,85,3.0
208,Batagay-Alyta,RU,2021-03-26 23:18:55,67.8006,130.4114,-4.74,94,100,1.57
209,Vostok,RU,2021-03-26 23:18:55,46.4856,135.8833,31.78,78,100,4.23
210,Tevaitoa,PF,2021-03-26 23:18:56,-16.7833,-151.5,82.72,73,7,22.1
211,Hamilton,US,2021-03-26 23:18:56,39.1834,-84.5333,57.2,67,90,8.05
212,Nuevo Progreso,MX,2021-03-26 23:18:56,23.1667,-97.95,82.99,46,48,1.99
213,Kavieng,PG,2021-03-26 23:18:57,-2.5744,150.7967,83.08,73,100,9.51
214,Cherepanovo,RU,2021-03-26 23:18:57,54.2222,83.381,8.6,99,94,5.99
215,Inongo,CD,2021-03-26 23:18:58,-1.95,18.2667,72.28,91,100,4.07
216,Lagoa,PT,2021-03-26 23:18:58,39.05,-27.9833,56.84,61,38,7.16
217,Lebu,CL,2021-03-26 23:18:58,-37.6167,-73.65,56.21,74,0,19.46
218,Kolokani,ML,2021-03-26 23:18:59,13.5728,-8.0339,79.12,5,28,10.6
219,Lompoc,US,2021-03-26 23:18:59,34.6391,-120.4579,62.01,67,1,14.97
220,Bow Island,CA,2021-03-26 23:18:59,49.8668,-111.3684,39.0,60,66,2.3
221,La Asuncion,VE,2021-03-26 23:17:27,11.0333,-63.8628,76.37,82,16,15.7
222,Brasilia,BR,2021-03-26 23:19:00,-15.7797,-47.9297,73.4,60,20,2.3
223,Mocuba,MZ,2021-03-26 23:19:00,-16.8392,36.9856,69.57,97,1,2.91
224,Rockhampton,AU,2021-03-26 23:19:00,-23.3833,150.5,78.8,65,0,8.05
225,Kloulklubed,PW,2021-03-26 23:19:01,7.0419,134.2556,77.0,100,90,10.36
226,Gillette,US,2021-03-26 23:19:01,44.2911,-105.5022,41.0,70,90,9.22
227,Kavaratti,IN,2021-03-26 23:19:01,10.5669,72.642,82.62,73,27,2.51
228,Onguday,RU,2021-03-26 23:19:02,50.75,86.15,10.92,90,5,3.13
229,Luderitz,NA,2021-03-26 23:19:02,-26.6481,15.1594,62.6,79,0,9.22
230,Intipuca,SV,2021-03-26 23:19:02,13.1969,-88.0544,98.6,30,0,5.75
231,Darasun,RU,2021-03-26 23:19:03,51.6667,114.0,26.6,80,40,8.95
232,Pundaguitan,PH,2021-03-26 23:19:03,6.3711,126.1689,80.67,77,100,6.78
233,Soe,ID,2021-03-26 23:14:28,-9.8607,124.284,68.97,91,100,1.39
